                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.52652,                0.31608,                0.94116,                0.96585,                0.95643,                0.98281,                0.86692,                0.52944,                0.25262,                0.98075,               0.006304,               0.006304,               0.006304
                    115,                0.52221,                0.31237,                0.93572,                0.96599,                0.95643,                0.98265,                 0.8667,                0.52934,                0.25288,                0.98084,               0.006271,               0.006271,               0.006271
                    116,                0.52019,                0.31001,                0.93851,                0.96587,                0.95633,                0.98259,                0.86675,                0.52931,                0.25224,                0.98105,               0.006238,               0.006238,               0.006238
                    117,                 0.5238,                0.30911,                0.93709,                0.96575,                0.95671,                0.98249,                0.86583,                0.52926,                0.25242,                0.98109,               0.006205,               0.006205,               0.006205
                    118,                0.51673,                0.30844,                0.93671,                0.96603,                0.95677,                0.98251,                0.86622,                0.52913,                0.25253,                0.98109,               0.006172,               0.006172,               0.006172
                    119,                0.52165,                0.31031,                0.93593,                0.96648,                0.95663,                0.98235,                0.86662,                0.52888,                0.25241,                0.98102,               0.006139,               0.006139,               0.006139
                    120,                0.51797,                0.30638,                0.93484,                0.96695,                0.95679,                 0.9823,                0.86649,                0.52877,                 0.2526,                0.98077,               0.006106,               0.006106,               0.006106
                    121,                0.51826,                0.30926,                0.93528,                0.96707,                 0.9565,                0.98229,                0.86678,                0.52866,                0.25253,                0.98075,               0.006073,               0.006073,               0.006073
                    122,                0.51783,                0.30925,                0.93559,                0.96728,                0.95647,                0.98228,                0.86672,                0.52851,                0.25272,                0.98068,                0.00604,                0.00604,                0.00604
                    123,                0.51994,                0.31282,                0.93581,                0.96737,                0.95676,                0.98246,                0.86791,                0.52827,                0.25268,                0.98055,               0.006007,               0.006007,               0.006007
                    124,                0.51319,                0.30337,                0.93464,                0.96732,                0.95658,                0.98252,                0.86723,                0.52832,                0.25268,                0.98055,               0.005974,               0.005974,               0.005974
                    125,                0.51844,                0.30813,                0.93518,                0.96678,                0.95739,                0.98235,                0.86797,                0.52822,                0.25251,                0.98053,               0.005941,               0.005941,               0.005941
                    126,                0.51333,                0.30658,                0.93518,                0.96671,                0.95739,                0.98253,                0.86873,                0.52799,                0.25274,                0.98043,               0.005908,               0.005908,               0.005908
                    127,                0.50858,                0.30273,                0.93108,                0.96614,                0.95783,                0.98196,                0.86806,                0.52772,                0.25258,                 0.9803,               0.005875,               0.005875,               0.005875
                    128,                0.51641,                0.30822,                0.93858,                0.96663,                0.95766,                0.98187,                 0.8671,                0.52756,                 0.2523,                0.98028,               0.005842,               0.005842,               0.005842
                    129,                0.51123,                0.30424,                0.93339,                0.96663,                 0.9576,                0.98167,                0.86705,                0.52742,                0.25263,                0.98025,               0.005809,               0.005809,               0.005809
                    130,                0.51634,                0.30707,                 0.9379,                0.96648,                0.95768,                0.98205,                0.86764,                0.52722,                0.25279,                0.98021,               0.005776,               0.005776,               0.005776
                    131,                 0.5104,                0.30315,                0.93295,                0.96671,                0.95756,                0.98226,                0.86702,                0.52711,                0.25265,                0.98021,               0.005743,               0.005743,               0.005743
                    132,                0.51006,                0.30386,                0.93154,                0.96692,                0.95747,                0.98214,                0.86655,                  0.527,                0.25259,                0.98014,                0.00571,                0.00571,                0.00571
                    133,                0.51066,                0.30408,                0.93029,                0.96719,                0.95697,                0.98204,                0.86675,                0.52698,                0.25272,                0.98016,               0.005677,               0.005677,               0.005677
                    134,                0.50334,                0.30202,                0.93063,                0.96717,                 0.9571,                0.98177,                0.86713,                0.52706,                0.25234,                0.98037,               0.005644,               0.005644,               0.005644
                    135,                0.50805,                0.30451,                0.93247,                0.96699,                0.95682,                0.98126,                0.86622,                0.52695,                0.25234,                0.98039,               0.005611,               0.005611,               0.005611
                    136,                0.50285,                    0.3,                0.93138,                0.96653,                  0.957,                0.98123,                0.86708,                0.52677,                0.25234,                0.98029,               0.005578,               0.005578,               0.005578
                    137,                0.50605,                0.30033,                0.92886,                0.95497,                0.96801,                0.98049,                0.86618,                0.52659,                0.25226,                0.98027,               0.005545,               0.005545,               0.005545
                    138,                 0.5089,                0.29869,                0.93286,                0.95762,                0.96579,                0.98017,                0.86648,                 0.5265,                  0.252,                 0.9802,               0.005512,               0.005512,               0.005512
                    139,                0.50659,                0.30355,                 0.9311,                 0.9577,                0.96647,                0.98114,                0.86758,                0.52631,                0.25256,                0.98011,               0.005479,               0.005479,               0.005479
                    140,                0.50407,                0.29971,                0.92984,                 0.9575,                0.96672,                 0.9809,                0.86789,                0.52628,                0.25251,                0.98006,               0.005446,               0.005446,               0.005446
                    141,                0.50055,                0.29875,                0.92914,                0.95754,                0.96655,                0.98099,                0.86819,                0.52601,                0.25248,                0.97986,               0.005413,               0.005413,               0.005413
                    142,                0.50168,                0.29888,                0.92932,                 0.9573,                0.96647,                0.98101,                0.86838,                0.52589,                0.25226,                0.97986,                0.00538,                0.00538,                0.00538
                    143,                0.50092,                0.29355,                0.92781,                0.95752,                0.96643,                0.98066,                0.86782,                0.52578,                 0.2525,                0.97981,               0.005347,               0.005347,               0.005347
                    144,                0.49718,                0.29693,                0.92656,                0.95755,                0.96727,                0.98113,                0.86926,                0.52577,                0.25215,                0.97984,               0.005314,               0.005314,               0.005314
                    145,                0.49753,                0.29741,                0.92897,                0.95728,                0.96767,                0.98116,                 0.8693,                0.52571,                0.25175,                 0.9799,               0.005281,               0.005281,               0.005281
                    146,                0.50105,                0.29851,                0.92682,                0.95749,                0.96734,                0.98101,                0.86984,                0.52568,                0.25184,                0.97993,               0.005248,               0.005248,               0.005248
                    147,                0.49965,                0.29449,                0.92779,                 0.9572,                0.96724,                0.98067,                0.86943,                 0.5257,                0.25192,                0.97997,               0.005215,               0.005215,               0.005215
                    148,                0.50011,                0.29356,                0.92781,                0.95737,                0.96723,                0.97994,                0.86833,                0.52577,                 0.2522,                 0.9799,               0.005182,               0.005182,               0.005182
                    149,                0.49733,                  0.294,                0.92623,                0.95854,                0.96723,                 0.9803,                0.86774,                0.52564,                 0.2522,                0.97981,               0.005149,               0.005149,               0.005149
                    150,                 0.4999,                0.29413,                0.92852,                 0.9594,                0.96719,                0.98071,                0.86946,                0.52536,                0.25203,                0.97966,               0.005116,               0.005116,               0.005116
                    151,                0.49753,                0.29597,                 0.9263,                0.95997,                0.96655,                0.98036,                0.86859,                0.52539,                0.25195,                0.97972,               0.005083,               0.005083,               0.005083
                    152,                0.49255,                0.29281,                0.92668,                0.95947,                0.96723,                0.98047,                0.86928,                0.52539,                0.25188,                 0.9798,                0.00505,                0.00505,                0.00505
                    153,                0.49392,                0.29209,                0.92647,                0.95914,                0.96723,                0.98035,                0.86884,                0.52546,                0.25215,                0.97983,               0.005017,               0.005017,               0.005017
                    154,                0.49146,                0.28562,                0.92607,                0.95907,                0.96723,                0.98017,                 0.8694,                0.52521,                0.25214,                0.97975,               0.004984,               0.004984,               0.004984
                    155,                0.49099,                0.29069,                0.92372,                0.95909,                0.96723,                0.98008,                0.86907,                0.52513,                0.25253,                0.97975,               0.004951,               0.004951,               0.004951
                    156,                0.48908,                0.28807,                0.92232,                0.95911,                0.96723,                0.98014,                0.87013,                0.52505,                0.25235,                0.97971,               0.004918,               0.004918,               0.004918
                    157,                0.49186,                0.29437,                0.92384,                 0.9592,                0.96723,                 0.9797,                0.87031,                0.52498,                0.25259,                0.97981,               0.004885,               0.004885,               0.004885
                    158,                0.49013,                0.29021,                0.92293,                0.95919,                0.96727,                0.97964,                0.86998,                0.52486,                0.25222,                0.97981,               0.004852,               0.004852,               0.004852
                    159,                0.49062,                0.28875,                0.92312,                0.95909,                0.96728,                0.97966,                0.87047,                0.52469,                0.25242,                0.97978,               0.004819,               0.004819,               0.004819
